Product Id,Weight (kg),Length (m),Width (m),Height (m)
59241,0.065,0.05,0.03,0.15
59262,0,0,0,0
59283,0,0,0,0
59304,0,0,0,0
59325,0,0,0,0
59346,0,0,0,0
59367,0,0,0,0
59388,0.33,0.09,0.05,0.22
59409,0,0,0,0
59430,0.246,0.08,0.048,0.21
59451,0.132,0.07,0.07,0.045
59472,0.16,0.09,0.09,0.075
59493,0,0,0,0
59514,0.23,0.08,0.04,0.185
59535,0.1,0.062,0.053,0.08
59556,0.135,0.028,0.028,0.145
59577,0.114,0.07,0.03,0.145
59598,0.13,0.06,dd,0.14
59619,0,0,0,0
59640,0,0,0,0
59661,0.556,0.01,0.05,0.225
59682,0,0,0,0
59703,0.226,0.06,0.04,0.16
59724,0.084,0.045,0.045,0.12
59745,0,0,0,0
59766,0,0,0,0
59787,0,0,0,0
59808,0.069,0.045,0.03,0.15
59829,0.072,0.05,0.035,0.11
59850,0.106,0.045,0.045,0.065
59871,0.157,0.045,0.045,0.215
59892,0.284,0.075,0.045,0.2
59913,0.288,0.075,0.035,0.185
59934,0,0,0,0
59955,0.18,0.052,0.052,0.185
59976,0,0,0,0
59997,0.138,0.05,0.05,0.155
60018,0,0,0,0
60039,0.162,0.055,0.055,0.145
60060,0.148,0.055,0.055,0.16
60081,0,0,0,0
60102,0.286,0.053,0.053,0.205
60123,0,0,0,0
60144,0,0,0,0
60165,5.0029,0.2794,0.381,0.0762
60186,5.009,0.381,0.3048,0.1016
60207,1.102,0.09,0.09,0.27
60228,0,0,0,0
60249,0.026,0.12,0.01,0.13
60270,0.03,0.01,0.12,0.13
60291,0.052,0.14,0.1,0.03
60312,1.48,ee,0.08,0.29
60333,0.35,0.09,0.09,0.1
60354,0,0,0,0
60375,0,0,0,0
60396,0.486,0.055,0.055,0.205
60417,0.17,0.07,0.07,0.21
60438,0,0,0,0
60459,0.145,0.065,0.065,0.04
60480,0,0,0,0
60501,0,0,0,0
60522,0.028,0.035,0.035,0.09
60543,0.05,0.04,0.04,0.095
60564,0.102,0.14,0.085,0.015
60585,0.135,0.1,0.1,0.17
60606,0,0,0,0
60627,0.0066,0.15,0.11,0.03
60648,0,0,0,0
60669,0.07,0.14,0.1,0.03
60690,0.086,0.15,0.1,0.03
60711,0.08,0.15,0.1,0.03
60732,0.142,0.095,0.07,0.045
60753,0,0,0,0
60774,0,0,0,0
60795,0.395,0.095,0.045,0.017
60816,0.23,0.052,0.03,0.175
60837,0,0,0,0
60858,0.282,0.08,0.04,0.165
60879,0.116,0.06,0.04,0.143
60900,0.112,0.06,0.035,0.155
60921,0,0,0,0
60942,0.23,0.075,0.035,0.1524
60963,0.054,0.075,0.045,0.025
60984,0.436,0.08,0.08,0.22
61005,0,0,0,0
61026,0,0,0,0
61047,0,0,0,0
61068,0,0,0,0
61089,0,0,0,0
61110,0,0,0,0
61131,0.2,0.03,0.07,0.18
61152,0.332,0.065,0.05,0.18
61173,0.045,0.135,0.055,0.035
61194,0.061,0.12,0.055,0.035
61215,0.06,0.12,0.055,0.035
61236,0,0,0,0
61257,0.278,0.055,0.055,0.205
61278,0.095,0.195,0.1,0.065
61299,0.138,0.095,0.065,0.04
61320,0.148,0.094,0.42,0.068
61341,0,0,0,0
61362,0,0,0,0
61383,0,0,0,0
61404,0,0,0,0
61425,0,0,0,0
61446,0,0,0,0
61467,0,0,0,0
61488,0.128,0.1,0.06,0.04
61509,0,0,0,0
61530,0.114,0.085,0.08,0.065
61551,0.1,0.125,0.065,0.05
61572,0,0,0,0
61593,0,0,0,0
61614,0.413,0.08,0.06,0.2105
61635,0,0,0,0
61656,0.204,0.02,0.08,0.195
61677,0.284,0.09,0.03,0.2
61698,0,0,0,0
61719,0,0,0,0
61740,0,0,0,0
61761,0,0,0,0
61782,0,0,0,0
61803,0,0,0,0
61824,0,0,0,0
61845,0,0,0,0
61866,0,0,0,0
61887,0,0,0,0
61908,0.426,0.07,0.05,0.213
61929,0,0,0,0
61950,0.113,0.17,0.12,0.04
61971,0.148,0.02,0.015,0.07
61992,0.47,0.075,0.045,0.235
62013,0,0,0,0
62034,0,0,0,0
62055,0,0,0,0
62076,0.228,0.065,0.045,0.115
62097,0.85,0.06,0.06,0.273
62118,0,0,0,0
62139,0,0,0,0
62160,0.45,0.15,0.11,0.19
62181,1.084,0.13,0.13,0.165
62202,2.088,0.19,0.19,0.25
62223,0,0,0,0
62244,0,0,0,0
62265,0,0,0,0
62286,0.6,0.2,0.19,0.12
62307,2.01,0.47,0.26,0.12
62328,1.089,0.43,0.22,0.12
62349,1.3,0.28,0.12,0.23
62370,1.1,ee,0.12,0.28
62391,0,0,0,0
62412,0,0,0,0
62433,0,0,0,0
62454,0,0,0,0
62475,0,0,0,0
62496,0,0,0,0
62517,1.5,0.4,0.13,0.28
62538,0,0,0,0
62559,0,0,0,0
62580,0,0,0,0
62601,0.08,0.34,0.3,0.12
62622,1.028,0.35,0.33,0.11
62643,1.007,0.28,0.22,0.18
62664,1.29,0.43,0.21,0.11
62685,1.05,0.38,0.22,0.11
62706,1.328,0.34,0.27,0.1
62727,1.5,0.32,0.28,0.11
62748,0.396,0.14,0.05,0.19
62769,0.396,0.14,0.06,0.19
62790,0.722,0.16,0.1,0.075
62811,0,0,0,0
62832,0,0,0,0
62853,0.79,0.13,0.08,0.29
62874,0.016,0.115,0.025,0.015
62895,0.018,0.125,0.025,0.015
62916,0.016,0.02,0.02,0.14
62937,0,0,0,0
62958,0.02,0.02,0.02,0.085
62979,0.158,0.11,0.07,0.05
63000,0.056,0.15,0.005,0.1105
63021,0.218,0.08,0.08,0.11
63042,0,0,0,0
63063,1.026,0.2,0.15,0.2159
63084,0.19,0.25,0.12,0.08
63105,0.389,0.09,0.04,0.225
63126,0,0,0,0
63147,0,0,0,0
63168,0,0,0,0
63189,0,0,0,0
63210,0.816,0.11,0.065,0.23
63231,0,0,0,0
63252,0,0,0,0
63273,0.256,0.08,0.05,0.21
63294,0,0,0,0
63315,0,0,0,0
63336,0,0,0,0
63357,0,0,0,0
63378,0.432,0.071,0.055,0.215
63399,0,0,0,0
63420,0,0,0,0
63441,0,0,0,0
63462,0.396,0.075,0.048,0.215
63483,0.392,gg,0.045,0.215
63504,0,0,0,0
63525,0,0,0,0
63546,0,0,0,0
63567,0,0,0,0
63588,0,0,0,0
63609,0.206,0.08,0.05,0.185
63630,0,0,0,0
63651,0,0,0,0
63672,0,0,0,0
63693,0,0,0,0
63714,0,0,0,0
63735,0,0,0,0
63756,0,0,0,0
63777,0,0,0,0
63798,0,0,0,0
63819,0,0,0,0
63840,0,0,0,0
63861,0,0,0,0
63882,0,0,0,0
63903,0,0,0,0
63924,0,0,0,0
63945,0.2,0.065,0.035,0.15
63966,0.548,0.09,0.045,0.235
63987,0,0,0,0
64008,0,0,0,0
64029,0,0,0,0
64050,0.204,0.0385,0.0385,0.173
64071,0,0,0,0
64092,0,0,0,0
64113,0,0,0,0
64134,0,0,0,0
64155,0,0,0,0
64176,0,0,0,0
64197,0.561,0.1,0.08,0.21
64218,0,0,0,0
64239,0,0,0,0
64260,0,0,0,0
64281,0,0,0,0
64302,0,0,0,0
64323,0,0,0,0
64344,0,0,0,0
64365,0,0,0,0
64386,0,0,0,0
64407,0,0,0,0
64428,0,0,0,0
64449,0,0,0,0
64470,0.43,0.05,0.05,0.18
64491,0,0,0,0
64512,0,0,0,0
64533,0.26,0.08,0.04,0.14
64554,0.276,0.07,0.04,0.19
64575,0,0,0,0
64596,0,0,0,0
64617,0,0,0,0
64638,0,0,0,0
64659,0,0,0,0
64680,0,0,0,0
64701,0,0,0,0
64722,0,0,0,0
64743,0,0,0,0
64764,0,0,0,0
64785,0,0,0,0
64806,0,0,0,0
64827,0,0,0,0
64848,0,0,0,0
64869,0,0,0,0
64890,0,0,0,0
64911,0,0,0,0
64932,0,0,0,0
64953,0.148,0.05,0.05,0.135
64974,0.146,0.055,0.055,0.135
64995,0.24,0.053,0.053,0.142
65016,0,0,0,0
65037,0.246,0.055,0.055,0.155
65058,0,0,0,0
65079,0.176,0.05,0.05,0.07
65100,0,0,0,0
65121,0.256,0.06,0.04,0.17
65142,0.188,0.05,0.05,0.13
65163,0.287,0.07,0.07,0.15
65184,0.24,0.06,0.06,0.14
65205,0.164,0.05,0.05,0.13
65226,gg,0.06,0.06,0.13
65247,0.1,0.12,0.08,0.03
65268,0,0,0,0
65289,0.1,0.11,0.12,0.02
65310,0,0,0,0
65331,0,0,0,0
65352,0.104,0.12,0.12,0.03
65373,0,0,0,0
65394,0.102,0.125,0.02,0.155
65415,0.1,0.205,0.04,0.265
65436,0.098,0.12,0.035,0.115
65457,0.1,0.0508,0.1,0.03
65478,0.1,0.18,0.02,0.13
65499,0.108,0.15,0.12,0.07
65520,0,0,0,0
65541,0,0,0,0
65562,0,0,0,0
65583,0,0,0,0
65604,0,0,0,0
65625,0.35,0.12,0.12,0.16
65646,0.5,0.13,0.13,0.16
65667,0.06,24.05,12,11.05
65688,0.2,0.13,0.16,0.12
65709,0.265,0.24,0.18,0.13
65730,0.052,0.2,0.19,0.04
65751,0,0,0,0
65772,0.205,0.105,0.03,0.205
65793,0.312,0.215,0.18,0.03
65814,0,0,0,0
65835,0.276,0.19,0.12,0.035
65856,0.548,0.22,0.115,0.05
65877,0.498,0.23,0.12,0.03
65898,0.546,0.21,0.15,0.05
65919,0.404,0.13,jj,0.06
65940,0.05,0.12,0.095,0.022
65961,0.042,0.15,0.1,0.04
65982,0.044,0.16,0.11,0.03
66003,0.256,0.2,0.175,0.03
66024,0.05,0.21,0.195,0.03
66045,0,0,0,0
66066,0.096,0.1,0.1,0.12
66087,0.204,0.095,0.04,0.065
66108,0.226,0.1,0.03,0.09
66129,0.23,0.085,0.085,0.059
66150,0.35,0.17,0.12,0.03
66171,0.346,0.17,0.16,0.03
66192,0,0,0,0
66213,0,0,0,0
66234,0.23,0.055,0.055,0.12
66255,0.403,0.075,0.075,0.105
66276,0,0,0,0
66297,0.552,0.055,0.055,0.24
66318,0.235,0.2032,0.1524,0.0508
66339,1.0336,0.27,0.21,0.07
66360,0.34,0.21,0.2,0.02
66381,1.05,0.254,0.1905,0.0762
66402,1.05,0.3556,0.2286,0.0762
66423,0,0,0,0
66444,0,0,0,0
66465,0,0,0,0
66486,0,0,0,0
66507,0,0,0,0
66528,0,0,0,0
66549,0,0,0,0
66570,0,0,0,0
66591,0,0,0,0
66612,0,0,0,0
66633,0,0,0,0
66654,0,0,0,0
66675,0,0,0,0
66696,0,0,0,0
66717,0,0,0,0
66738,0,0,0,0
66759,0,0,0,0
66780,0,0,0,0
66801,0,0,0,0
66822,0,0,0,0
66843,1.22,0.3556,0.2286,0.0762
66864,1.05,0.3556,0.2286,0.0762
66885,0,0,0,0
66906,0,0,0,0
66927,0,0,0,0
66948,1.02,0.254,0.1905,0.1016
66969,0,0,0,0
66990,0,0,0,0
67011,0,0,0,0
67032,0,0,0,0
67053,0,0,0,0
67074,0,0,0,0
67095,0,0,0,0
67116,0,0,0,0
67137,0,0,0,0
67158,0,0,0,0
67179,0,0,0,0
67200,0,0,0,0
67221,0,0,0,0
67242,0,0,0,0
67263,0,0,0,0
67284,0,0,0,0
67305,0.391,0.21,0.18,0.05
67326,0,0,0,0
67347,0,0,0,0
67368,2.81,0.12,0.12,0.34
67389,4.6176,0.16,0.16,0.33
67410,0.205,0.13,0.09,0.04
67431,0,0,0,0
67452,0,0,0,0
67473,0,0,0,0
67494,0,0,0,0
67515,0,0,0,0
67536,0,0,0,0
67557,0,0,0,0
67578,0.39,0.092,0.092,0.108
67599,0.405,0.105,0.105,0.086
67620,0,0,0,0
67641,0,0,0,0
67662,0,0,0,0
67683,0,0,0,0
67704,0.22,0.13,0.05,0.2
67725,0.0796,0.06,0.06,0.23
67746,1.0016,0.075,0.075,0.295
67767,0,0,0,0
67788,0,0,0,0
67809,0,0,0,0
67830,0,0,0,0
67851,0,0,0,0
67872,0.538,0.13,0.175,0.075
67893,0.536,0.13,0.075,0.17
67914,0.536,0.16,0.135,0.08
67935,0.535,0.095,0.075,0.185
67956,0.534,0.155,!!,0.08
67977,0.556,0.28,0.075,0.035
67998,0.102,0.1524,0.1524,0.0254
68019,0.504,0.23,0.18,0.06
68040,0.124,0.145,0.095,0.03
68061,0,0,0,0
68082,0.194,0.15,0.1,0.04
68103,0.4,0.07,0.07,0.13
68124,0.706,0.065,0.065,0.13
68145,0.722,0.065,0.065,0.13
68166,0,0,0,0
68187,0.024,0.06,0.025,0.085
68208,0.024,0.055,0.025,0.088
68229,0.024,0.055,0.022,0.085
68250,0.512,0.28,0.18,0.05
68271,0.51,0.31,0.09,0.03
68292,0.6,0.07,0.07,0.21
68313,0,0,0,0
68334,0.328,0.075,0.05,0.175
68355,0,0,0,0
68376,0,0,0,0
68397,0,0,0,0
68418,0,0,0,0
68439,0,0,0,0
68460,0,0,0,0
68481,0.1,0.135,0.09,0.06
68502,0.358,0.065,0.065,0.155
68523,0.062,0.16,0.04,0.03
68544,0,0,0,0
68565,0,0,0,0
68586,0.022,0.15,0.08,0.02
68607,0.56,0.09,0.09,0.2
68628,0.085,0.4,0.1,0.01
68649,0,0,0,0
68670,0.16,0.075,0.075,0.085
68691,@,0.075,0.075,0.15
68712,0.186,0.213,0.015,0.09
68733,0,0,0,0
68754,0,0,0,0
68775,0.125,0,0,0
68796,0,0,0,0
68817,0.065,0.12,0.04,0.02
68838,0.152,0.16,0.07,0.03
68859,0.065,0.14,0.06,0.03
68880,0,0,0,0
68901,0.185,0.215,0.03,0.09
68922,0.12,0,0,0
68943,0.569,0.1,0.1,0.135
68964,0,0,0,0
68985,0.05,0.08,0.08,0.08
69006,0,0,0,0
69027,0,0,0,0
69048,0.052,0.12,0.04,0.05
69069,0,0,0,0
69090,0,0,0,0
69111,0,0,0,0
69132,0,0,0,0
69153,0.045,0.13,0.07,0.03
69174,0.194,0.095,0.095,0.085
69195,0.194,0.09,0.09,0.072
69216,0,0,0,0
69237,0,0,0,0
69258,0,0,0,0
69279,0,0,0,0
69300,0,0,0,0
69321,0,0,0,0
69342,0.2,0.1,0.095,0.1
69363,0,0,0,0
69384,0,0,0,0
69405,0.1,0.09,0.06,0.13
69426,0,0,0,0
69447,0,0,0,0
69468,0,0,0,0
69489,0.352,0.1,0.09,0.145
69510,0,0,0,0
69531,0.53,0.11,0.11,0.13
69552,1.092,0.11,0.07,0.21
69573,1.008,0.12,0.09,0.24
69594,1.092,0.06,0.1,0.2
69615,1.098,0.09,0.06,0.205
69636,1.084,0.11,0.07,0.21
69657,1.004,0.12,0.09,0.24
69678,1.114,0.105,0.062,0.207
69699,5.0014,0.35,0.3,0.0762
69720,0,0,0,0
69741,0,0,0,0
69762,0.502,0.2,0.14,0.06
69783,0,0,0,0
69804,0,0,0,0
69825,0.622,0.24,0.14,0.05
69846,0,0,0,0
69867,0,0,0,0
69888,0,0,0,0
69909,0,0,0,0
69930,0,0,0,0
69951,0,0,0,0
69972,1.086,0.09,0.09,0.285
69993,0.55,0.07,0.07,0.24
70014,0.1,0.15,0.125,0.03
70035,0.35,0.06,0.06,0.15
70056,0.35,0.06,0.06,0.15
70077,0.25,0.07,0.07,0.17
70098,0.5,0.1,0.1,0.19
70119,0.398,0.14,0.055,0.18
70140,0.553,0.14,0.05,0.195
70161,0,0,0,0
70182,0.456,0.14,0.052,0.175
70203,0.368,0.14,%,0.18
70224,0,0,0,0
70245,0,0,0,0
70266,0,0,0,0
70287,0.362,0.05,0.05,0.19
70308,0,0,0,0
70329,0,0,0,0
70350,0,0,0,0
70371,0,0,0,0
70392,0,0,0,0
70413,0,0,0,0
70434,0,0,0,0
70455,0,0,0,0
70476,0,0,0,0
70497,0,0,0,0
70518,0,0,0,0
70539,1.078,0.095,0.07,0.21
70560,0,0,0,0
70581,0,0,0,0
70602,0.332,0.055,0.055,0.11
70623,0.653,0.08,0.08,0.135
70644,0.548,0.07,0.07,0.125
70665,0.58,0.08,0.08,0.12
70686,0.102,0.1,0.1,0.06
70707,0.204,0.17,0.14,0.03
70728,0,0,0,0
70749,0.1,0.18,0.1,0.02
70770,0.2,0.2,0.13,0.02
70791,0.55,0.07,0.07,0.16
70812,5.05,0.44,0.24,0.12
70833,0,0,0,0
70854,0.397,0.08,0.08,0.08
70875,0.232,0.21,0.105,0.055
70896,0,0,0,0
70917,0.204,0.21,0.04,0.24
70938,0,0,0,0
70959,0.328,0.27,0.16,0.08
70980,1.0136,0.2,0.06,0.25
71001,0,0,0,0
71022,0.52,0.21,0.14,0.06
71043,0,0,0,0
71064,0,0,0,0
71085,0,0,0,0
71106,1.06,0.08,0.08,0.21
71127,1.088,0.08,0.075,0.21
71148,1.06,0.08,0.08,0.21
71169,1.06,0.08,0.08,&
71190,0.258,0.05,0.05,0.135
71211,0,0,0,0
71232,0,0,0,0
71253,0,0,0,0
71274,0.042,0.035,0.035,0.1
71295,0.057,0.03,0.03,0.1
71316,0.0028,0.035,0.035,0.1
71337,0.026,0.03,0.03,0.105
71358,0,0,0,0
71379,0.052,0.03,0.03,0.1
71400,0.48,0.075,0.075,0.114
71421,0,0,0,0
71442,0,0,0,0
71463,0,0,0,0
71484,0,0,0,0
71505,0,0,0,0
71526,0,0,0,0
71547,0,0,0,0
71568,0,0,0,0
71589,0.504,0.1524,0.1651,0.0381
71610,0,0,0,0
71631,0,0,0,0
71652,0.508,0.11,0.11,0.13
71673,0.51,0.11,0.11,0.13
71694,0.412,0.1397,0.0508,0.1905
71715,0,0,0,0
71736,0,0,0,0
71757,0,0,0,0
71778,0.054,0.14,0.1,0.03
71799,0,0,0,0
71820,0,0,0,0
71841,0,0,0,0
71862,0,0,0,0
71883,0.47,0.105,0.105,0.18
71904,0.536,0.06,0.06,0.215
71925,0,0,0,0
71946,0.352,0.06,0.06,0.15
71967,0,0,0,0
71988,0,0,0,0
72009,0,0,0,0
72030,0,0,0,0
72051,0,0,0,0
72072,0,0,0,0
72093,0.44,0.18,0.14,0.05
72114,0.524,0.11,0.11,0.13
72135,0,0,0,0
72156,0,0,0,0
72177,0.1,0.16,0.125,*
72198,0.048,0.15,0.05,0.04
72219,0.34,0.055,0.055,0.152
72240,1.0076,0.095,0.06,0.195
72261,1.0076,0.095,0.06,0.195
72282,1.0078,0.095,0.06,0.195
72303,1.009,0.1,0.07,0.21
72324,0,0,0,0
72345,0.74,0.07,0.07,0.255
72366,1.019,0.07,0.07,0.295
72387,0.64,0.07,0.07,0.22
72408,0.558,0.11,0.11,0.11
72429,0.42,0.09,0.09,0.1
72450,0,0,0,0
72471,0,0,0,0
72492,0,0,0,0
72513,0,0,0,0
72534,0.098,0.0889,0.0889,0.1829
72555,0.094,0.035,0.035,0.09
72576,0.094,0.035,0.035,0.09
72597,0.096,0.085,0.075,0.03
72618,0.09,0.09,0.08,0.03
72639,0.45,0.08,0.08,0.1
72660,0,0,0,0
72681,0.75,0.09,0.09,0.19
72702,1.0184,0.0889,0.0889,0.1778
72723,0,0,0,0
72744,1.0184,0.0889,0.0889,0.1778
72765,0.009,0.18,0.09,0.09
72786,0,0,0,0
72807,0,0,0,0
72828,0.45,0.08,0.08,0.1
72849,0,0,0,0
72870,0,0,0,0
72891,1.0178,0.0889,0.0889,0.1778
72912,1.184,0.0889,0.0889,0.1778
72933,0,0,0,0
72954,0,0,0,0
72975,0.3,0.09,0.09,0.12
72996,0.15,0.16,0.14,0.03
73017,0.098,0.16,0.12,0.03
73038,0.258,0.085,0.085,0.11
73059,0,0,0,0
73080,0,0,0,0
73101,0.102,0.125,^,0.09
73122,0,0,0,0
73143,0,0,0,0
73164,0,0,0,0
73185,0,0,0,0
73206,0,0,0,0
73227,0,0,0,0
73248,0,0,0,0
73269,0.096,0.12,0.09,0.025
73290,0,0,0,0
73311,0.08,0.12,0.09,0.025
73332,0,0,0,0
73353,0,0,0,0
73374,0,0,0,0
73395,0,0,0,0
73416,0,0,0,0
73437,0,0,0,0
73458,0,0,0,0
73479,0,0,0,0
73500,0,0,0,0
73521,0,0,0,0
73542,0.18,0.055,0.055,0.07
73563,0,0,0,0
73584,0.135,0.08,0.07,0.04
73605,0,0,0,0
73626,0,0,0,0
73647,0.454,0.14,0.05,0.18
73668,0,0,0,0
73689,0,0,0,0
73710,0,0,0,0
73731,0,0,0,0
73752,0,0,0,0
73773,0,0,0,0
73794,0,0,0,0
73815,0,0,0,0
73836,0,0,0,0
73857,0,0,0,0
73878,0,0,0,0
73899,0,0,0,0
73920,0.52,0.21,0.18,0.06
73941,0,0,0,0
73962,0,0,0,0
73983,0,0,0,0
74004,0,0,0,0
74025,0,0,0,0
74046,0.5,0.05,0.05,0.21
74067,0,0,0,0
74088,0,0,0,0
74109,0,0,0,0
74130,0,0,0,0
74151,0,0,0,0
74172,0,0,0,0
74193,0,0,0,0
74214,0,0,0,0
74235,0,0,0,0
74256,0,0,0,0
74277,0,0,0,0
74298,0.54,0.33,0.29,0.1
74319,0,0,0,0
74340,0,0,0,0
74361,0,0,0,0
74382,0.106,0.17,0.06,0.06
74403,0.065,0.0889,0.055,0.055
74424,0,0,0,0
74445,0,0,0,0
74466,0,0,0,0
74487,0.55,0.07,0.07,0.21
74508,0,0,0,0
74529,0.152,0.185,0.125,0.035
74550,1.03,0.075,0.075,0.26
74571,0.202,0.06,0.06,0.075
74592,0,0,0,0
74613,0,0,0,0
74634,0.6,(,0.062,0.22
74655,0,0,0,0
74676,0,0,0,0
74697,0,0,0,0
74718,0,0,0,0
74739,0,0,0,0
74760,0.48,0.055,0.055,0.205
74781,0,0,0,0
74802,0,0,0,0
74823,0,0,0,0
74844,0,0,0,0
74865,0.202,0.06,0.06,0.07
74886,0,0,0,0
74907,0,0,0,0
74928,0.11,0.055,0.055,0.08
74949,0.05,0.07,0.07,0.21
74970,0,0,0,0
74991,0,0,0,0
75012,0.727,0.065,0.065,0.185
75033,1.374,0.085,0.085,0.24
75054,0.055,0.08,0.08,0.17
75075,0.05,0.14,0.07,0.02
75096,0.24,0.18,0.14,0.05
75117,0.034,0.14,0.07,0.02
75138,0.065,0.15,0.05,0.05
75159,0.234,0.19,0.11,0.06
75180,0,0,0,0
75201,0,0,0,0
75222,0,0,0,0
75243,0,0,0,0
75264,0.26,0.1016,0.1016,0.1778
75285,0.6,0.0536,0.0536,0.1981
75306,0.36,0.0762,0.0864,0.1803
75327,0.256,0.11,0.07,0.035
75348,0,0,0,0
75369,0,0,0,0
75390,0,0,0,0
75411,0,0,0,0
75432,0,0,0,0
75453,0,0,0,0
75474,0,0,0,0
75495,0,0,0,0
75516,0,0,0,0
75537,0.088,0.045,0.005,0.045
75558,0,0,0,0
75579,0,0,0,0
75600,1,0.205,0.03,0.3
75621,2.004,0.254,0.3302,0.0508
75642,1.003,0.26,0.19,0.04
75663,0.183,0.22,0.11,0.03
75684,0,0,0,0
75705,0,0,0,0
75726,1,0.28,0.21,0.05
75747,0.5,0.18,0.14,0.04
75768,0,0,0,0
75789,0,0,0,0
75810,0,0,0,0
75831,0,0,0,0
75852,1,0,0,0
75873,0.25,0.12,0.1,0.06
75894,0,0,0,0
75915,0,0,0,0
75936,0,0,0,0
75957,0,0,0,0
75978,0,0,0,0
75999,0,0,0,0
